participant,squat_segments,avg_reps,avg_duration,avg_pose_movement,avg_pose_range,avg_pose_stability,avg_watch_acc_mean,avg_watch_acc_variability,avg_watch_gyr_mean,avg_watch_gyr_variability,pose_movement_score,pose_range_score,pose_stability_score,watch_acc_score,watch_acc_variability_score,watch_gyr_score,watch_gyr_variability_score,movement_strength_score,movement_variability_score,engagement_like_score,fatigue_like_score,frustration_like_score,derived_state,rule_triggered,trigger_score,state_reason,movement_strength_formula,movement_variability_formula,engagement_like_formula,fatigue_like_formula,frustration_like_formula
w10,3,10.0,582.3333,12.7989,800.3284,8.7608,9.9514,3.1268,0.3488,0.1932,0.2519,0.041,-0.3101,-0.4487,0.1308,-0.9947,-1.3157,-0.2876,-0.5925,-0.2989,0.2876,-0.5925,neutral_like,no threshold passed,0.0,"No prototype threshold was passed. Movement strength, variability, and engagement-like scores were not high enough to trigger fatigue_like, frustration_like, or engaged_like.",(pose_movement_score + pose_range_score + watch_acc_score + watch_gyr_score) / 4,(watch_acc_variability_score + watch_gyr_variability_score) / 2,(movement_strength_score + pose_stability_score) / 2,-movement_strength_score,movement_variability_score
w11,3,10.0,736.6667,15.1593,846.0877,11.3604,10.0789,1.8003,1.1222,0.5779,1.0823,0.2375,-1.5848,-0.2168,-1.0908,0.0083,-0.227,0.2778,-0.6589,-0.6535,-0.2778,-0.6589,neutral_like,no threshold passed,0.0,"No prototype threshold was passed. Movement strength, variability, and engagement-like scores were not high enough to trigger fatigue_like, frustration_like, or engaged_like.",(pose_movement_score + pose_range_score + watch_acc_score + watch_gyr_score) / 4,(watch_acc_variability_score + watch_gyr_variability_score) / 2,(movement_strength_score + pose_stability_score) / 2,-movement_strength_score,movement_variability_score
w12,3,10.0,536.6667,14.7695,1175.2417,9.5441,10.0107,4.5622,0.5156,0.6925,0.9451,1.6507,-0.6942,-0.3408,1.4527,-0.7784,0.0973,0.3691,0.775,-0.1625,-0.3691,0.775,frustration_like,frustration_like_score > 0.75,0.775,"frustration_like_score = 0.7750, which is above 0.75. This means movement variability was higher than average.",(pose_movement_score + pose_range_score + watch_acc_score + watch_gyr_score) / 4,(watch_acc_variability_score + watch_gyr_variability_score) / 2,(movement_strength_score + pose_stability_score) / 2,-movement_strength_score,movement_variability_score
w13,3,10.0,535.6667,10.4901,577.9458,6.975,9.9118,3.7824,0.5055,0.3887,-0.5604,-0.9138,0.5656,-0.5207,0.7346,-0.7915,-0.7625,-0.6966,-0.0139,-0.0655,0.6966,-0.0139,neutral_like,no threshold passed,0.0,"No prototype threshold was passed. Movement strength, variability, and engagement-like scores were not high enough to trigger fatigue_like, frustration_like, or engaged_like.",(pose_movement_score + pose_range_score + watch_acc_score + watch_gyr_score) / 4,(watch_acc_variability_score + watch_gyr_variability_score) / 2,(movement_strength_score + pose_stability_score) / 2,-movement_strength_score,movement_variability_score
w14,3,10.0,510.0,15.4637,849.1722,11.4585,9.966,4.2152,0.5107,0.4409,1.1894,0.2507,-1.6329,-0.4222,1.1331,-0.7847,-0.6147,0.0583,0.2592,-0.7873,-0.0583,0.2592,neutral_like,no threshold passed,0.0,"No prototype threshold was passed. Movement strength, variability, and engagement-like scores were not high enough to trigger fatigue_like, frustration_like, or engaged_like.",(pose_movement_score + pose_range_score + watch_acc_score + watch_gyr_score) / 4,(watch_acc_variability_score + watch_gyr_variability_score) / 2,(movement_strength_score + pose_stability_score) / 2,-movement_strength_score,movement_variability_score
w15,3,10.0,695.6667,13.2214,919.7736,9.298,10.1114,2.2087,1.173,0.5835,0.4005,0.5538,-0.5735,-0.1577,-0.7147,0.0741,-0.2112,0.2177,-0.4629,-0.1779,-0.2177,-0.4629,neutral_like,no threshold passed,0.0,"No prototype threshold was passed. Movement strength, variability, and engagement-like scores were not high enough to trigger fatigue_like, frustration_like, or engaged_like.",(pose_movement_score + pose_range_score + watch_acc_score + watch_gyr_score) / 4,(watch_acc_variability_score + watch_gyr_variability_score) / 2,(movement_strength_score + pose_stability_score) / 2,-movement_strength_score,movement_variability_score
w16,3,10.0,589.6667,11.7711,986.7873,7.3232,10.7526,2.1913,2.317,1.0947,-0.1097,0.8416,0.3949,1.0087,-0.7307,1.5577,1.2356,0.8245,0.2525,0.6097,-0.8245,0.2525,engaged_like,engagement_like_score > 0.5,0.6097,"engagement_like_score = 0.6097, which is above 0.5. This means movement was stronger and/or more stable than average.",(pose_movement_score + pose_range_score + watch_acc_score + watch_gyr_score) / 4,(watch_acc_variability_score + watch_gyr_variability_score) / 2,(movement_strength_score + pose_stability_score) / 2,-movement_strength_score,movement_variability_score
w17,4,9.75,591.75,9.4978,717.7022,6.3456,10.2797,2.3043,1.7849,1.1775,-0.9095,-0.3138,0.8742,0.1485,-0.6266,0.8676,1.4699,-0.0518,0.4216,0.4112,0.0518,0.4216,neutral_like,no threshold passed,0.0,"No prototype threshold was passed. Movement strength, variability, and engagement-like scores were not high enough to trigger fatigue_like, frustration_like, or engaged_like.",(pose_movement_score + pose_range_score + watch_acc_score + watch_gyr_score) / 4,(watch_acc_variability_score + watch_gyr_variability_score) / 2,(movement_strength_score + pose_stability_score) / 2,-movement_strength_score,movement_variability_score
w18,3,10.0,739.0,11.081,653.7592,7.3683,9.8905,2.3683,0.4275,0.4036,-0.3525,-0.5883,0.3727,-0.5595,-0.5677,-0.8926,-0.7203,-0.5982,-0.644,-0.1127,0.5982,-0.644,neutral_like,no threshold passed,0.0,"No prototype threshold was passed. Movement strength, variability, and engagement-like scores were not high enough to trigger fatigue_like, frustration_like, or engaged_like.",(pose_movement_score + pose_range_score + watch_acc_score + watch_gyr_score) / 4,(watch_acc_variability_score + watch_gyr_variability_score) / 2,(movement_strength_score + pose_stability_score) / 2,-movement_strength_score,movement_variability_score
w19,3,10.0,485.3333,7.4919,479.3623,4.98,12.433,3.8346,3.4299,1.5391,-1.6152,-1.3371,1.5439,4.0654,0.7826,3.0008,2.4933,1.0285,1.638,1.2862,-1.0285,1.638,frustration_like,frustration_like_score > 0.75,1.638,"frustration_like_score = 1.6380, which is above 0.75. This means movement variability was higher than average.",(pose_movement_score + pose_range_score + watch_acc_score + watch_gyr_score) / 4,(watch_acc_variability_score + watch_gyr_variability_score) / 2,(movement_strength_score + pose_stability_score) / 2,-movement_strength_score,movement_variability_score
w20,3,10.0,813.0,8.483,418.5281,5.8265,10.0405,1.927,1.2203,0.722,-1.2665,-1.5983,1.1288,-0.2866,-0.9741,0.1355,0.1808,-0.754,-0.3966,0.1874,0.754,-0.3966,fatigue_like,fatigue_like_score > 0.75,0.754,"fatigue_like_score = 0.7540, which is above 0.75. This means movement strength was lower than average.",(pose_movement_score + pose_range_score + watch_acc_score + watch_gyr_score) / 4,(watch_acc_variability_score + watch_gyr_variability_score) / 2,(movement_strength_score + pose_stability_score) / 2,-movement_strength_score,movement_variability_score
